timestamp,width_m,length_m,max_depth_m,volume_m3,volume_liters,concrete_m3,confidence_pct,image_path,pointcloud_path
2026-03-20T09:47:38.911616,2.753,1.747,25.949,0.0,0.0218,55.63
2026-03-20T09:48:12.837503,0.494,0.149,0.275,0.0,0.0002,52.04
2026-03-20T10:05:01.811168,9.292,1.802,8.662,0.0,0.0052,37.12
2026-03-20T10:05:18.137436,1.933,0.923,13.58,0.0001,0.0644,47.01
2026-03-20T10:05:24.338672,16.116,11.134,13.554,0.0001,0.0664,46.16
2026-03-20T10:05:26.956400,1.94,0.927,13.555,0.0001,0.0672,53.81
2026-03-20T10:07:16.730662,4.377,2.578,20.428,0.0,0.0133,39.44
2026-03-20T10:07:21.884750,10.956,37.907,20.215,0.0,0.0134,50.09
2026-03-20T10:07:24.980242,3.78,2.271,20.232,0.0,0.0129,41.93
2026-03-20T10:08:43.748669,1.539,0.91,12.774,0.0,0.0323,37.57
2026-03-20T10:08:47.114576,1.556,0.918,12.503,0.0,0.0291,36.87
2026-03-20T10:09:28.219207,13.759,8.105,58.548,0.0038,3.7959,36.04
2026-03-20T10:40:35.227903,5.815,3.705,72.81,0.0002,0.1844,54.64
2026-03-20T10:43:44.560441,1.528,0.533,61.842,0.0001,0.1098,36.0
2026-03-20T11:24:47.118921,1.049,0.356,48.728,0.0,0.0227,44.63
2026-03-20T11:29:33.421651,17.533,7.917,26.691,0.0,0.0265,40.73
2026-03-20T11:30:16.105322,0.774,0.298,20.593,0.0,0.0134,38.22
2026-03-20T11:36:45.695615,0.391,0.096,22.073,0.0,0.0012,40.92
2026-03-20T11:37:01.227978,0.368,0.091,21.029,0.0,0.0013,37.15
2026-03-20T11:40:10.243065,0.49,0.171,21.904,0.0,0.0077,43.72
2026-03-20T13:18:22.598843,1.937,1.585,0.311,0.0,0.0,75.86
2026-03-20T13:19:07.741382,0.335,0.174,4.788,0.0,0.0007,42.94
