timestamp,width_m,length_m,max_depth_m,volume_m3,concrete_m3
2026-02-02T11:42:49.878647,6.893,0.718,0.304,0.0019,0.0021
2026-02-02T11:43:08.204387,11.799,4.031,0.02,0.0,0.0
2026-02-02T11:43:17.005102,0.434,0.426,0.033,0.0002,0.0003
2026-02-02T11:43:25.701382,0.578,0.33,0.043,0.0004,0.0004
2026-02-02T11:43:30.652705,0.344,0.24,0.005,0.0,0.0
2026-02-02T11:46:37.483480,0.258,0.088,0.005,0.0,0.0
2026-02-02T11:46:50.199913,0.309,0.385,0.375,0.001,0.0011
2026-02-02T11:46:54.673132,0.119,0.086,0.007,0.0,0.0
2026-02-02T11:46:57.783120,0.309,0.166,0.04,0.0001,0.0001
2026-02-02T11:47:00.429236,0.293,0.278,0.005,0.0,0.0
2026-02-02T11:47:17.801065,0.343,0.185,0.281,0.0031,0.0034
2026-02-02T11:49:32.098625,0.806,0.894,0.259,0.0036,0.004
